"(No Title)"
	"2026-05-"	"9 10:34:37"

" Result ID"	"Result Type"	"I Marker ID"	"J Marker ID"	"Result Title"
"  rev1_acc"	"  Variable"	"     (N/A)"	"     (N/A)"	"(No Comment)"

".Flex_Pend_Alu.Last_Run.rev1_acc.TIME"	".Flex_Pend_Alu.Last_Run.rev1_acc.Q"
0.000000e+00	1.023953e+02
1.000000e-02	-8.910664e+00
2.000000e-02	-7.721040e+00
3.000000e-02	-7.853603e+00
4.000000e-02	-7.858370e+00
5.000000e-02	-7.647324e+00
6.000000e-02	-7.417188e+00
7.000000e-02	-7.161309e+00
8.000000e-02	-6.857628e+00
9.000000e-02	-6.511711e+00
1.000000e-01	-6.126197e+00
1.100000e-01	-5.700798e+00
1.200000e-01	-5.236501e+00
1.300000e-01	-4.734916e+00
1.400000e-01	-4.197945e+00
1.500000e-01	-3.628040e+00
1.600000e-01	-3.028174e+00
1.700000e-01	-2.401743e+00
1.800000e-01	-1.752531e+00
1.900000e-01	-1.084676e+00
2.000000e-01	-4.025934e-01
2.100000e-01	2.891423e-01
2.200000e-01	9.859043e-01
2.300000e-01	1.683112e+00
2.400000e-01	2.376322e+00
2.500000e-01	3.061318e+00
2.600000e-01	3.734179e+00
2.700000e-01	4.391337e+00
2.800000e-01	5.029604e+00
2.900000e-01	5.646183e+00
3.000000e-01	6.238655e+00
3.100000e-01	6.804961e+00
3.200000e-01	7.343357e+00
3.300000e-01	7.852362e+00
3.400000e-01	8.330699e+00
3.500000e-01	8.777230e+00
3.600000e-01	9.190889e+00
3.700000e-01	9.570607e+00
3.800000e-01	9.915252e+00
3.900000e-01	1.022356e+01
4.000000e-01	1.049406e+01
4.100000e-01	1.072505e+01
4.200000e-01	1.091451e+01
4.300000e-01	1.106010e+01
4.400000e-01	1.115908e+01
4.500000e-01	1.120835e+01
4.600000e-01	1.120444e+01
4.700000e-01	1.114349e+01
4.800000e-01	1.102140e+01
4.900000e-01	1.083383e+01
5.000000e-01	1.057644e+01
5.100000e-01	1.024497e+01
5.200000e-01	9.835571e+00
5.300000e-01	9.345030e+00
5.400000e-01	8.771134e+00
5.500000e-01	8.113004e+00
5.600000e-01	7.371467e+00
5.700000e-01	6.549375e+00
5.800000e-01	5.651868e+00
5.900000e-01	4.686522e+00
6.000000e-01	3.663351e+00
6.100000e-01	2.594630e+00
6.200000e-01	1.494544e+00
6.300000e-01	3.786512e-01
6.400000e-01	-7.367663e-01
6.500000e-01	-1.835438e+00
6.600000e-01	-2.901837e+00
6.700000e-01	-3.921843e+00
6.800000e-01	-4.883278e+00
6.900000e-01	-5.776271e+00
7.000000e-01	-6.593440e+00
7.100000e-01	-7.329896e+00
7.200000e-01	-7.983095e+00
7.300000e-01	-8.552573e+00
7.400000e-01	-9.039619e+00
7.500000e-01	-9.446908e+00
7.600000e-01	-9.778140e+00
7.700000e-01	-1.003771e+01
7.800000e-01	-1.023039e+01
7.900000e-01	-1.036114e+01
8.000000e-01	-1.043486e+01
8.100000e-01	-1.045625e+01
8.200000e-01	-1.042977e+01
8.300000e-01	-1.035950e+01
8.400000e-01	-1.024914e+01
8.500000e-01	-1.010198e+01
8.600000e-01	-9.920954e+00
8.700000e-01	-9.708579e+00
8.800000e-01	-9.467042e+00
8.900000e-01	-9.198209e+00
9.000000e-01	-8.903665e+00
9.100000e-01	-8.584756e+00
9.200000e-01	-8.242626e+00
9.300000e-01	-7.878268e+00
9.400000e-01	-7.492560e+00
9.500000e-01	-7.086315e+00
9.600000e-01	-6.660322e+00
9.700000e-01	-6.215392e+00
9.800000e-01	-5.752397e+00
9.900000e-01	-5.272315e+00
1.000000e+00	-4.776261e+00
1.010000e+00	-4.265524e+00
1.020000e+00	-3.741592e+00
1.030000e+00	-3.206169e+00
1.040000e+00	-2.661188e+00
1.050000e+00	-2.108812e+00
1.060000e+00	-1.551424e+00
1.070000e+00	-9.916055e-01
1.080000e+00	-4.321110e-01
1.090000e+00	1.241748e-01
1.100000e+00	6.742816e-01
1.110000e+00	1.215206e+00
1.120000e+00	1.743964e+00
1.130000e+00	2.257648e+00
1.140000e+00	2.753476e+00
1.150000e+00	3.228836e+00
1.160000e+00	3.681323e+00
1.170000e+00	4.108769e+00
1.180000e+00	4.509255e+00
1.190000e+00	4.881121e+00
1.200000e+00	5.222958e+00
1.210000e+00	5.533592e+00
1.220000e+00	5.812069e+00
1.230000e+00	6.057620e+00
1.240000e+00	6.269632e+00
1.250000e+00	6.447617e+00
1.260000e+00	6.591178e+00
1.270000e+00	6.699979e+00
1.280000e+00	6.773725e+00
1.290000e+00	6.812135e+00
1.300000e+00	6.814937e+00
1.310000e+00	6.781859e+00
1.320000e+00	6.712633e+00
1.330000e+00	6.607009e+00
1.340000e+00	6.464769e+00
1.350000e+00	6.285758e+00
1.360000e+00	6.069916e+00
1.370000e+00	5.817313e+00
1.380000e+00	5.528193e+00
1.390000e+00	5.203019e+00
1.400000e+00	4.842507e+00
